date,pacientes_uti_ultimo_dia
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,4591.714285714285
2020-05-26,4646.571428571428
2020-05-27,4707.285714285715
2020-05-28,4768.285714285715
2020-05-29,4795.857142857143
2020-05-30,4832.857142857143
2020-05-31,4837.714285714285
2020-06-01,4874.571428571428
2020-06-02,4904.0
2020-06-03,4928.857142857143
2020-06-04,4948.857142857143
2020-06-05,4979.857142857143
2020-06-06,5016.428571428572
2020-06-07,5054.142857142857
2020-06-08,5089.0
2020-06-09,5131.857142857143
2020-06-10,5182.0
2020-06-11,5253.857142857143
2020-06-12,5333.142857142857
2020-06-13,5408.428571428572
2020-06-14,5475.571428571428
2020-06-15,5535.142857142857
2020-06-16,5589.285714285715
2020-06-17,5633.142857142857
2020-06-18,5631.714285714285
2020-06-19,5654.142857142857
2020-06-20,5658.714285714285
2020-06-21,5674.142857142857
2020-06-22,5701.857142857143
2020-06-23,5717.0
2020-06-24,5728.142857142857
2020-06-25,5749.142857142857
2020-06-26,5748.0
2020-06-27,5765.428571428572
2020-06-28,5775.285714285715
2020-06-29,5754.857142857143
2020-06-30,5760.857142857143
2020-07-01,5762.714285714285
2020-07-02,5769.0
2020-07-03,5763.571428571428
2020-07-04,5750.714285714285
2020-07-05,5764.571428571428
2020-07-06,5800.428571428572
2020-07-07,5809.285714285715
2020-07-08,5832.714285714285
2020-07-09,5863.857142857143
2020-07-10,5911.857142857143
2020-07-11,5968.142857142857
2020-07-12,5995.285714285715
2020-07-13,6020.428571428572
2020-07-14,6069.142857142857
2020-07-15,6116.142857142857
2020-07-16,6139.142857142857
2020-07-17,6135.714285714285
2020-07-18,6135.428571428572
2020-07-19,6113.142857142857
2020-07-20,6079.857142857143
2020-07-21,6061.285714285715
2020-07-22,6041.142857142857
2020-07-23,6029.857142857143
2020-07-24,6030.0
2020-07-25,6022.857142857143
2020-07-26,6033.428571428572
2020-07-27,6051.0
2020-07-28,6040.0
2020-07-29,6011.285714285715
2020-07-30,5961.571428571428
2020-07-31,5938.428571428572
2020-08-01,5909.285714285715
2020-08-02,5886.714285714285
2020-08-03,5872.142857142857
2020-08-04,5848.0
2020-08-05,5838.571428571428
2020-08-06,5847.714285714285
2020-08-07,5829.142857142857
2020-08-08,5799.428571428572
2020-08-09,5757.714285714285
2020-08-10,5701.571428571428
2020-08-11,5666.0
2020-08-12,5634.285714285715
2020-08-13,5607.857142857143
2020-08-14,5578.571428571428
2020-08-15,5566.285714285715
2020-08-16,5565.714285714285
2020-08-17,5565.0
2020-08-18,5544.857142857143
2020-08-19,5518.428571428572
2020-08-20,5478.857142857143
2020-08-21,5433.571428571428
2020-08-22,5384.714285714285
2020-08-23,5328.857142857143
2020-08-24,5278.285714285715
2020-08-25,5236.142857142857
2020-08-26,5193.142857142857
2020-08-27,5163.142857142857
2020-08-28,5145.285714285715
2020-08-29,5125.142857142857
2020-08-30,5114.142857142857
2020-08-31,5106.0
2020-09-01,5101.142857142857
2020-09-02,5090.714285714285
2020-09-03,5068.857142857143
2020-09-04,5043.571428571428
2020-09-05,5015.142857142857
2020-09-06,4978.857142857143
2020-09-07,4939.571428571428
2020-09-08,4892.571428571428
2020-09-09,4850.857142857143
2020-09-10,4811.571428571428
